1;supply_node;509;11.600000;248;-1.570000;0
1;arms_factory;512;12.100000;270;-1.570000;0
1;arms_factory;517;11.900000;259;-1.570000;0
1;arms_factory;505;11.800000;265;-1.570000;0
1;arms_factory;513;12.000000;248;-1.570000;0
1;arms_factory;523;13.100000;252;-1.570000;0
1;arms_factory;516;11.900000;255;-1.570000;0
1;industrial_complex;518;11.800000;259;-1.570000;0
1;industrial_complex;521;12.400000;254;-1.570000;0
1;industrial_complex;512;13.400000;267;-1.570000;0
1;industrial_complex;512;11.800000;244;-1.570000;0
1;industrial_complex;522;12.500000;255;-1.570000;0
1;industrial_complex;511;11.900000;257;-1.570000;0
1;air_base;513;12.400000;269;-1.570000;0
1;bunker;522;12.400000;251;-1.570000;0
1;anti_air_building;504;12.000000;265;-1.570000;0
1;anti_air_building;517;13.100000;247;-1.570000;0
1;anti_air_building;508;11.700000;256;-1.570000;0
1;synthetic_refinery;504;11.600000;259;-1.570000;0
1;nuclear_reactor_spawn;511;11.500000;273;-1.570000;0
1;rocket_site_spawn;511;11.800000;259;-1.570000;0
1;radar_station;513;12.700000;260;-1.570000;0
1;fuel_silo;512;11.800000;259;-1.570000;0
1;stronghold_network;502;11.900000;265;-1.570000;0
1;special_project_facility_spawn;513;12.200000;254;-1.570000;0
2;supply_node;536;11.600000;311;-1.570000;0
2;supply_node;520;12.400000;301;-1.570000;0
2;arms_factory;494;12.400000;308;-1.570000;0
2;arms_factory;526;14.600000;295;-1.570000;0
2;arms_factory;500;13.600000;300;-1.570000;0
2;arms_factory;493;12.500000;306;-1.570000;0
2;arms_factory;498;12.000000;304;-1.570000;0
2;arms_factory;528;16.100000;297;-1.570000;0
2;industrial_complex;508;11.600000;316;-1.570000;0
2;industrial_complex;527;10.900000;324;-1.570000;0
2;industrial_complex;525;11.500000;309;-1.570000;0
2;industrial_complex;507;11.900000;310;-1.570000;0
2;industrial_complex;507;12.000000;308;-1.570000;0
2;industrial_complex;531;11.700000;306;-1.570000;0
2;air_base;516;11.800000;319;-1.570000;0
2;bunker;510;12.000000;298;-1.570000;0
2;bunker;508;12.300000;300;-1.570000;0
2;anti_air_building;538;11.900000;318;-1.570000;0
2;anti_air_building;511;11.500000;297;-1.570000;0
2;anti_air_building;514;12.200000;303;-1.570000;0
2;synthetic_refinery;522;12.500000;301;-1.570000;0
2;nuclear_reactor_spawn;530;11.200000;326;-1.570000;0
2;rocket_site_spawn;508;12.100000;303;-1.570000;0
2;radar_station;545;11.300000;315;-1.570000;0
2;fuel_silo;540;11.200000;311;-1.570000;0
2;stronghold_network;524;11.300000;321;-1.570000;0
2;special_project_facility_spawn;521;11.300000;318;-1.570000;0
2;special_project_facility_spawn;529;11.000000;325;-1.570000;0
