1;508;9.900000;243;small
2;529;9.900000;336;small
3;257;9.900000;144;small
4;791;9.900000;340;small
5;316;9.900000;222;small
6;502;9.900000;421;small
7;210;9.900000;380;small
8;832;9.900000;163;small
9;345;9.900000;478;small
10;693;9.900000;64;small
11;381;9.900000;65;small
12;441;9.900000;44;small
13;877;9.900000;246;small
14;384;9.900000;199;small
15;144;9.900000;144;small
16;520;9.900000;212;small
17;831;9.900000;496;small
18;671;9.900000;296;small
19;774;9.900000;177;small
20;671;9.900000;235;small
21;513;9.900000;385;small
22;354;9.900000;397;small
23;446;9.900000;279;small
24;281;9.900000;403;small
25;819;9.900000;374;small
26;468;9.900000;302;small
27;236;9.900000;461;small
28;810;9.900000;62;small
29;864;9.900000;66;small
30;326;9.900000;191;small
31;295;9.900000;326;small
32;169;9.900000;450;small
33;813;9.900000;184;small
34;583;9.900000;146;small
35;661;9.900000;388;small
36;810;9.900000;447;small
37;753;9.900000;459;small
38;143;9.900000;72;small
39;481;9.900000;192;small
40;223;9.900000;215;small
41;826;9.900000;128;small
42;298;9.900000;107;small
43;656;9.900000;400;small
44;397;9.900000;482;small
45;209;9.900000;269;small
46;478;9.900000;397;small
47;176;9.900000;469;small
48;646;9.900000;148;small
49;337;9.900000;360;small
50;733;9.900000;49;small
51;567;9.900000;250;small
52;627;9.900000;237;small
53;468;9.900000;432;small
54;384;9.900000;84;small
55;262;9.900000;386;small
56;359;9.900000;215;small
57;264;9.900000;50;small
58;529;9.900000;136;small
59;886;9.900000;352;small
60;385;9.900000;317;small
61;585;9.900000;360;small
62;537;9.900000;359;small
63;755;9.900000;225;small
64;528;9.900000;14;small
65;930;9.900000;86;small
66;251;9.900000;12;small
67;924;9.900000;299;small
68;1006;9.900000;454;small
69;54;9.900000;170;small
70;46;9.900000;344;small
71;86;9.900000;34;small
72;510;9.900000;508;small
73;203;9.900000;506;small
74;460;9.900000;6;small
75;107;9.900000;395;small
76;682;9.900000;12;small
77;1010;9.900000;12;small
78;112;9.900000;496;small
79;1007;9.900000;353;small
80;907;9.900000;379;small
81;831;9.900000;27;small
82;691;9.900000;510;small
83;911;9.900000;127;small
84;122;9.900000;249;small
85;71;9.900000;113;small
86;921;9.900000;58;small
87;898;9.900000;462;small
88;858;9.900000;508;small
89;1017;9.900000;177;small
90;583;9.900000;502;small
91;784;9.900000;20;small
92;1003;9.900000;220;small
93;286;9.900000;502;small
94;106;9.900000;114;small
95;214;9.900000;28;small
96;174;9.900000;9;small
97;977;9.900000;3;small
98;54;9.900000;312;small
